service_id,organisation_id
4,1
7,1
13,1
1,2
11,2
19,2
14,2
6,3
9,3
19,3
3,4
6,4
15,4
10,4
2,5
10,5
16,5
17,5
3,6
9,6
3,7
6,7
8,7
18,7
20,7
21,7
13,7
12,7
14,7
3,8
6,8
8,8
18,8
20,8
21,8
13,8
12,8
14,8
3,9
6,9
8,9
18,9
20,9
21,9
13,9
12,9
14,9
3,10
6,10
8,10
18,10
20,10
21,10
13,10
12,10
14,10
3,11
6,11
8,11
18,11
20,11
13,11
12,11
14,11
21,11
3,12
6,12
8,12
18,12
20,12
13,12
12,12
14,12
21,12
3,13
6,13
8,13
18,13
20,13
13,13
12,13
14,13
21,13
3,14
6,14
8,14
18,14
20,14
21,14
13,14
12,14
14,14
3,15
6,15
8,15
18,15
20,15
21,15
13,15
12,15
14,15
3,16
6,16
8,16
18,16
20,16
21,16
13,16
12,16
14,16
3,17
6,17
8,17
18,17
20,17
21,17
13,17
12,17
14,17
3,18
6,18
8,18
18,18
20,18
21,18
13,18
12,18
14,18
3,19
6,19
8,19
18,19
20,19
21,19
13,19
12,19
14,19
3,20
6,20
8,20
18,20
20,20
21,20
13,20
12,20
14,20
3,21
6,21
8,21
18,21
20,21
21,21
13,21
12,21
14,21
3,22
6,22
8,22
18,22
20,22
21,22
13,22
12,22
14,22
3,23
6,23
8,23
18,23
20,23
21,23
13,23
12,23
14,23
3,24
6,24
8,24
18,24
20,24
21,24
13,24
12,24
14,24
5,25